UNIT,TIMESTAMP,TYPE,MARKET,INSTRUMENT,OPEN,HIGH,LOW,CLOSE,FIRST_MESSAGE_TIMESTAMP,LAST_MESSAGE_TIMESTAMP,FIRST_MESSAGE_VALUE,HIGH_MESSAGE_VALUE,HIGH_MESSAGE_TIMESTAMP,LOW_MESSAGE_VALUE,LOW_MESSAGE_TIMESTAMP,LAST_MESSAGE_VALUE,TOTAL_INDEX_UPDATES,VOLUME,QUOTE_VOLUME,VOLUME_TOP_TIER,QUOTE_VOLUME_TOP_TIER,VOLUME_DIRECT,QUOTE_VOLUME_DIRECT,VOLUME_TOP_TIER_DIRECT,QUOTE_VOLUME_TOP_TIER_DIRECT
MINUTE,1749693300,267,cadli,IMX-USD,0.515801842858969,0.515873528140291,0.514607939132591,0.515720098724266,1749693300,1749693599,0.515809380647343,0.515873528140291,1749693311,0.514607939132591,1749693506,0.515720098724266,325,102940.43703996,53082.4453356931,33130.22823996,17077.6065630239,15221.04,7843.1304878864,15221.04,7843.1304878864
MINUTE,1749693300,267,cadli,ARB-USD,0.397835263308126,0.398676921150876,0.397832192284992,0.398605691221162,1749693300,1749693599,0.397832192284992,0.398676921150876,1749693575,0.397832192284992,1749693300,0.398605691221162,397,768287.13984246,306080.608891476,279689.87967037,111594.100101575,17253.21,6873.241297,17253.21,6873.241297
MINUTE,1749693300,267,cadli,OP-USD,0.697709730736787,0.699546389916981,0.697709730736787,0.699546389916981,1749693301,1749693599,0.697741373488604,0.699546389916981,1749693599,0.697741373488604,1749693301,0.699546389916981,331,287134.40614115,200719.300393708,92516.38843555,64697.6923507512,1356.51247771,949.007849392274,1356.51247771,949.007849392274
MINUTE,1749693300,267,cadli,INJ-USD,13.0938618472701,13.1302328587513,13.0938618472701,13.1176621548342,1749693300,1749693598,13.0970304941518,13.1302328587513,1749693437,13.0970304941518,1749693300,13.1176621548342,292,21341.67355671,279947.359804402,3867.00975072,50746.5324676943,239.00438506,3134.0581056768,239.00438506,3134.0581056768
MINUTE,1749693300,267,cadli,MKR-USD,2018.96321392603,2027.59087811978,2016.94089736722,2027.02017996565,1749693301,1749693597,2018.99587115428,2027.59087811978,1749693582,2016.94089736722,1749693326,2027.02017996565,286,65.0149783127063,133582.500564532,25.3398589127063,51264.3563621458,11.42978982,23109.018278408,11.42978982,23109.018278408
MINUTE,1749693300,267,cadli,SUI-USD,3.36424148137989,3.36903644873083,3.36424148137989,3.36836078397339,1749693301,1749693599,3.36428489335632,3.36903644873083,1749693574,3.36428489335632,1749693301,3.36836078397339,458,449607.54544726,1514007.71037214,189213.59423078,637353.843538512,62273.45394,209723.733584678,62273.45394,209723.733584678
MINUTE,1749693300,267,cadli,LDO-USD,0.96777023462041,0.97031319916504,0.96777023462041,0.970285173557066,1749693300,1749693598,0.967770273140839,0.97031319916504,1749693581,0.967770273140839,1749693300,0.970285173557066,301,226821.658912158,219834.341946317,125642.518572158,121822.850489009,983.4,953.13072,983.4,953.13072
MINUTE,1749693300,267,cadli,FDUSD-USD,0.998433626533757,0.998456598962839,0.998322873030274,0.998444146693727,1749693300,1749693599,0.998432943234549,0.998456598962839,1749693533,0.998322873030274,1749693387,0.998444146693727,254,232298.054,231923.073615905,211307,210966.271456977,0,0,0,0
MINUTE,1749693300,267,cadli,QNT-USD,115.412654389434,115.53763892527,115.412654389434,115.520140789831,1749693300,1749693597,115.430602536613,115.53763892527,1749693594,115.428733791776,1749693301,115.520140789831,153,483.0960645,55801.2303960859,196.3096,22676.2931835299,25.471,2942.556875,25.471,2942.556875
MINUTE,1749693300,267,cadli,TIA-USD,2.09749791695178,2.10452276671154,2.09749791695178,2.10394105332442,1749693300,1749693599,2.09754303927672,2.10452276671154,1749693581,2.09754303927672,1749693300,2.10394105332442,265,26438.24156512,55552.2503048064,8420.45946168002,17702.3750536427,1137.1372,2391.77620268,541.677200000002,1139.93085568
MINUTE,1749693300,267,cadli,HBAR-USD,0.172182039066373,0.172441752975997,0.172182039066373,0.172383062678675,1749693301,1749693598,0.172186611868553,0.172441752975997,1749693419,0.172186611868553,1749693301,0.172383062678675,245,772039.76921784,133086.942187509,512323.14434861,88326.6191796376,134861.1,23242.553777,134861.1,23242.553777
MINUTE,1749693300,267,cadli,VET-USD,0.0249656564306858,0.0250108049261295,0.0249656564306858,0.025010006765503,1749693300,1749693599,0.0249688078375327,0.0250108049261295,1749693578,0.0249688078375327,1749693300,0.025010006765503,344,3457736.39408668,86424.3402922833,901331.39758668,22534.5341296726,70458,1760.255326,46239,1155.34359
MINUTE,1749693300,267,cadli,GRT-USD,0.09607056990253,0.0962924475074827,0.09607056990253,0.0962604840823284,1749693300,1749693598,0.0960723035456621,0.0962924475074827,1749693564,0.0960723035456621,1749693300,0.0962604840823284,298,900005.56279116,86599.7849874305,186398.21893454,17941.3288039433,15873.99374359,1527.89376401244,15873.99374359,1527.89376401244
MINUTE,1749693300,267,cadli,AAVE-USD,299.754593520824,300.400582329201,299.754593520824,300.377780775281,1749693301,1749693597,299.765027886765,300.400582329201,1749693578,299.763983968074,1749693301,300.377780775281,436,3671.1698315021,1101493.52663724,515.618832162098,154795.791230985,100.61557,30177.5297772,100.61557,30177.5297772
